  Time (min)    V neg      V pos       Cur (A/m2)    Temp (C)   Heat Gen (W/m3)
 totLiold    7.0000000000000145E-002
 totLiold    7.0000000000000145E-002
   0.000000    2.097865    2.590493   2421.5358     25.000000   3.8462087E+07
   0.000333    2.081953    2.562468   2402.5734     25.574245   3.9119925E+07
   0.000667    2.065437    2.548283   2414.2278     26.150332   3.9245402E+07
   0.001000    2.051322    2.536684   2426.8091     26.728402   3.9380503E+07
   0.001333    2.038827    2.527010   2440.9161     27.308687   3.9531377E+07
   0.001667    2.027296    2.518451   2455.7756     27.891292   3.9689408E+07
   0.002000    2.016439    2.510649   2471.0496     28.476266   3.9850830E+07
   0.002333    2.006096    2.503405   2486.5490     29.063629   4.0013548E+07
   0.002667    1.996169    2.496601   2502.1623     29.653381   4.0176334E+07
   0.003000    1.986592    2.490154   2517.8106     30.245511   4.0338339E+07
   0.003333         NaN         NaN   2483.9584           NaN             NaN
   0.003667         NaN         NaN         NaN           NaN             NaN
   0.004000         NaN         NaN         NaN           NaN             NaN
   0.004333         NaN         NaN         NaN           NaN             NaN
   0.004667         NaN         NaN         NaN           NaN             NaN
   0.005000         NaN         NaN         NaN           NaN             NaN
   0.005333         NaN         NaN         NaN           NaN             NaN
   0.005667         NaN         NaN         NaN           NaN             NaN
   0.006000         NaN         NaN         NaN           NaN             NaN
   0.006333         NaN         NaN         NaN           NaN             NaN
   0.006667         NaN         NaN         NaN           NaN             NaN
   0.007000         NaN         NaN         NaN           NaN             NaN
   0.007333         NaN         NaN         NaN           NaN             NaN
   0.007667         NaN         NaN         NaN           NaN             NaN
   0.008000         NaN         NaN         NaN           NaN             NaN
   0.008333         NaN         NaN         NaN           NaN             NaN
   0.008667         NaN         NaN         NaN           NaN             NaN
   0.009000         NaN         NaN         NaN           NaN             NaN
   0.009333         NaN         NaN         NaN           NaN             NaN
   0.009667         NaN         NaN         NaN           NaN             NaN
   0.010000         NaN         NaN         NaN           NaN             NaN
   0.010333         NaN         NaN         NaN           NaN             NaN
   0.010667         NaN         NaN         NaN           NaN             NaN
   0.011000         NaN         NaN         NaN           NaN             NaN
   0.011333         NaN         NaN         NaN           NaN             NaN
   0.011667         NaN         NaN         NaN           NaN             NaN
   0.012000         NaN         NaN         NaN           NaN             NaN
   0.012333         NaN         NaN         NaN           NaN             NaN
   0.012667         NaN         NaN         NaN           NaN             NaN
   0.013000         NaN         NaN         NaN           NaN             NaN
   0.013333         NaN         NaN         NaN           NaN             NaN
   0.013667         NaN         NaN         NaN           NaN             NaN
   0.014000         NaN         NaN         NaN           NaN             NaN
   0.014333         NaN         NaN         NaN           NaN             NaN
   0.014667         NaN         NaN         NaN           NaN             NaN
   0.015000         NaN         NaN         NaN           NaN             NaN
   0.015333         NaN         NaN         NaN           NaN             NaN
   0.015667         NaN         NaN         NaN           NaN             NaN
   0.016000         NaN         NaN         NaN           NaN             NaN
   0.016333         NaN         NaN         NaN           NaN             NaN
   0.016667         NaN         NaN         NaN           NaN             NaN
   0.017000         NaN         NaN         NaN           NaN             NaN
   0.017333         NaN         NaN         NaN           NaN             NaN
   0.017667         NaN         NaN         NaN           NaN             NaN
   0.018000         NaN         NaN         NaN           NaN             NaN
   0.018333         NaN         NaN         NaN           NaN             NaN
   0.018667         NaN         NaN         NaN           NaN             NaN
   0.019000         NaN         NaN         NaN           NaN             NaN
   0.019333         NaN         NaN         NaN           NaN             NaN
   0.019667         NaN         NaN         NaN           NaN             NaN
   0.020000         NaN         NaN         NaN           NaN             NaN
   0.020333         NaN         NaN         NaN           NaN             NaN
   0.020667         NaN         NaN         NaN           NaN             NaN
   0.021000         NaN         NaN         NaN           NaN             NaN
   0.021333         NaN         NaN         NaN           NaN             NaN
   0.021667         NaN         NaN         NaN           NaN             NaN
   0.022000         NaN         NaN         NaN           NaN             NaN
   0.022333         NaN         NaN         NaN           NaN             NaN
   0.022667         NaN         NaN         NaN           NaN             NaN
   0.023000         NaN         NaN         NaN           NaN             NaN
   0.023333         NaN         NaN         NaN           NaN             NaN
   0.023667         NaN         NaN         NaN           NaN             NaN
   0.024000         NaN         NaN         NaN           NaN             NaN
   0.024333         NaN         NaN         NaN           NaN             NaN
   0.024667         NaN         NaN         NaN           NaN             NaN
   0.025000         NaN         NaN         NaN           NaN             NaN
   0.025333         NaN         NaN         NaN           NaN             NaN
   0.025667         NaN         NaN         NaN           NaN             NaN
   0.026000         NaN         NaN         NaN           NaN             NaN
   0.026333         NaN         NaN         NaN           NaN             NaN
   0.026667         NaN         NaN         NaN           NaN             NaN
   0.027000         NaN         NaN         NaN           NaN             NaN
   0.027333         NaN         NaN         NaN           NaN             NaN
   0.027667         NaN         NaN         NaN           NaN             NaN
   0.028000         NaN         NaN         NaN           NaN             NaN
   0.028333         NaN         NaN         NaN           NaN             NaN
   0.028667         NaN         NaN         NaN           NaN             NaN
   0.029000         NaN         NaN         NaN           NaN             NaN
   0.029333         NaN         NaN         NaN           NaN             NaN
   0.029667         NaN         NaN         NaN           NaN             NaN
   0.030000         NaN         NaN         NaN           NaN             NaN
   0.030333         NaN         NaN         NaN           NaN             NaN
   0.030667         NaN         NaN         NaN           NaN             NaN
   0.031000         NaN         NaN         NaN           NaN             NaN
   0.031333         NaN         NaN         NaN           NaN             NaN
   0.031667         NaN         NaN         NaN           NaN             NaN
   0.032000         NaN         NaN         NaN           NaN             NaN
   0.032333         NaN         NaN         NaN           NaN             NaN
   0.032667         NaN         NaN         NaN           NaN             NaN
   0.033000         NaN         NaN         NaN           NaN             NaN
